"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11","Topic 12","Topic 13","Topic 14","Topic 15","Topic 16","Topic 17","Topic 18","Topic 19","Topic 20","Topic 21","Topic 22","Topic 23","Topic 24","Topic 25","Topic 26","Topic 27","Topic 28","Topic 29","Topic 30","Topic 31","Topic 32","Topic 33","Topic 34","Topic 35","Topic 36","Topic 37","Topic 38","Topic 39","Topic 40","Topic 41","Topic 42","Topic 43","Topic 44","Topic 45","Topic 46","Topic 47","Topic 48","Topic 49","Topic 50","Topic 51","Topic 52","Topic 53","Topic 54","Topic 55","Topic 56","Topic 57","Topic 58","Topic 59","Topic 60","Topic 61","Topic 62","Topic 63","Topic 64","Topic 65","Topic 66","Topic 67","Topic 68","Topic 69","Topic 70","Topic 71","Topic 72","Topic 73","Topic 74","Topic 75","Topic 76","Topic 77","Topic 78","Topic 79","Topic 80","Topic 81","Topic 82","Topic 83","Topic 84","Topic 85","Topic 86","Topic 87","Topic 88","Topic 89","Topic 90","Topic 91","Topic 92","Topic 93","Topic 94","Topic 95","Topic 96","Topic 97","Topic 98","Topic 99","Topic 100","Topic 101","Topic 102","Topic 103","Topic 104","Topic 105","Topic 106","Topic 107","Topic 108","Topic 109","Topic 110","Topic 111","Topic 112","Topic 113","Topic 114","Topic 115","Topic 116","Topic 117","Topic 118","Topic 119","Topic 120","Topic 121","Topic 122","Topic 123","Topic 124","Topic 125","Topic 126","Topic 127","Topic 128","Topic 129","Topic 130","Topic 131","Topic 132","Topic 133","Topic 134","Topic 135","Topic 136","Topic 137","Topic 138","Topic 139","Topic 140","Topic 141","Topic 142","Topic 143","Topic 144","Topic 145","Topic 146","Topic 147","Topic 148","Topic 149","Topic 150","Topic 151","Topic 152","Topic 153","Topic 154","Topic 155","Topic 156","Topic 157","Topic 158","Topic 159","Topic 160","Topic 161","Topic 162","Topic 163","Topic 164","Topic 165","Topic 166","Topic 167","Topic 168","Topic 169","Topic 170","Topic 171","Topic 172","Topic 173","Topic 174","Topic 175","Topic 176","Topic 177","Topic 178","Topic 179","Topic 180","Topic 181","Topic 182","Topic 183","Topic 184","Topic 185","Topic 186","Topic 187","Topic 188","Topic 189","Topic 190","Topic 191","Topic 192","Topic 193","Topic 194","Topic 195","Topic 196","Topic 197","Topic 198","Topic 199","Topic 200"
"1","distracted","dial","mmm","map","acted","washington","love","text","god","pee","ready","nina","learned","adam","awful","accepted","currently","heal","angels","abilities","result","accent","crystal","memories","appreciated","woo","sits","breaking","felt","que","ahoy","helping","touch","dont","afraid","addicted","sucks","pumpkin","term","west","clinton","cancer","opposite","inside","woah","degrees","court","flying","staying","lesbians","accidentally","class","release","rachel","cause","goodnight","just","addicting","camp","leg","goal","attitude","milk","lack","lol","ages","crime","changed","comin","accuse","kickin","collective","action","exam","ducks","celebrate","mun","bigger","bad","accidentally","child","holly","chris","bank","security","fist","finished","monster","fucking","armed","mate","kicked","faced","hehe","don","baby","dan","entertainment","carolyn","pooped","biting","dvd","adding","apartment","chinaman","que","pudding","robyn","crack","effing","life","keep","wants","dollars","add","creativity","messages","candy","mewling","beautiful","bumps","inc","bio","tickets","celebrate","correct","knackered","loads","dmv","appreciate","anne","complicated","bless","awsum","wow","eyes","btw","cancer","com","mmmm","cats","book","colors","books","meaning","reading","nie","hey","business","impress","http","cooked","dun","hits","ache","aug","wearing","like","http","dads","hours","bite","ball","courage","lets","des","direction","directions","arena","can","activity","next","grand","central","hit","finds","baking","people","tonight","fell","avoid","georgia","tea","lmao","hill","climbing","err","players","roll","family","fuck","wedding","image","breakfast","beach","accurately","den","tommorow","ability","accounts"
"2","grads","monopoly","supposed","son","badly","con","great","black","good","poo","love","tomorow","alla","ama","badly","blizzard","options","juice","hahaha","able","ads","aristotle","deserves","according","appreciation","hoo","sox","san","american","com","beatles","really","forgot","cant","audition","appear","apologize","rocks","amount","makes","discovered","chocolates","aaj","offers","aww","night","matthew","holds","stripped","page","brian","glee","aristotle","brother","december","facebook","day","cancer","city","pockets","october","marked","bang","french","tom","bad","chuck","hatred","tickets","astronomy","youtube","horizon","bottle","away","baby","pure","tai","shakespeare","lauren","accidently","finally","aid","loo","beating","prepared","shit","friend","attention","fuck","bitches","awesome","patience","problems","nie","hell","enjoying","ada","capital","lip","cry","blackberry","judge","ann","harry","flavor","por","watched","whats","jose","gifts","defeat","court","book","andrew","depression","random","treat","pod","email","conan","accident","san","bomb","mango","eleven","idol","serious","mmm","tock","necessary","answers","entire","imma","lol","cant","heart","dessert","tick","jackson","person","eric","coffee","rope","charge","signing","bonds","jest","kills","direction","license","com","halo","friends","laptop","aim","bernard","ever","meat","www","depth","paint","boring","english","neighbors","across","est","ashes","maggie","hold","like","actual","posting","tea","changing","chill","heart","blades","school","dance","optional","harder","yea","bars","school","somebody","rock","academic","adelante","lovely","art","reading","actually","toes","hopefully","feels","anybody","dropped","college","awoke","mum"
"3","keeps","andrews","accomplished","achieve","charm","couple","yeah","cell","way","status","weekend","anti","attempt","sen","balance","bricks","addiction","water","sitting","battle","almost","bbm","messages","agony","apt","bed","agosto","adjective","billy","para","bing","agree","irish","wot","bomb","apps","away","welcome","becoming","bought","rejoice","graduation","abandoned","atm","celebrating","woot","money","try","anatomy","piggy","icky","classes","aside","cookie","full","monster","today","everything","french","aid","ability","nerves","beard","immediately","got","bleeding","papers","lol","alive","ball","abuse","prove","zoo","bonjour","eggs","adhd","kun","wine","haha","approach","april","area","round","bills","quite","trap","scratch","barely","shit","bitterness","aww","add","went","die","homework","pregnant","creek","chi","met","wishes","buddy","anxiety","bleeding","potter","college","para","advertising","mom","site","painful","others","lets","jeff","fare","hoy","accent","anybody","adorable","note","snow","account","awsome","candidate","teenage","appreciated","itu","bill","nail","aim","australia","baked","quizzes","ahhhh","hannah","lol","die","parents","amigos","opening","arise","fed","cat","addictive","continues","attacking","clear","ale","apart","heel","acts","yahoo","haven","focus","lean","andrea","billion","karaoke","mental","org","fast","paper","cough","addicted","slap","anti","que","bat","bath","awww","know","ahhhhhh","active","afternoon","closing","mountains","scares","cheap","don","days","ahold","steal","deep","gary","tomorrow","syrup","guitar","actually","animal","sun","dogs","acid","beyond","accessories","paying","two","approval","ages","cuz","bay","actual"
"4","accurate","appliance","afternoon","allow","comic","maybe","family","bored","nice","kids","friday","badly","baxter","yan","battles","broke","american","abc","aim","become","blizzard","bugs","sees","air","assassin","grrr","becoming","african","blast","mais","booked","alone","indiana","meh","channels","astronomy","board","amazed","biggie","busier","serious","pic","anxious","attention","months","access","addicted","wash","arrested","across","moon","art","bank","news","negative","status","get","keeps","takes","anonymous","adventure","reunion","becoming","joy","party","chalk","behavior","beloved","apple","bang","airplanes","thing","advantage","stick","hes","ahhh","llã","bait","wow","arg","bat","attacks","trouble","blessed","also","aaj","advice","beyond","got","daughter","chickens","answer","absolutely","vir","tomorrow","woot","falls","convenience","mistake","andrea","celebrations","area","breath","acceptable","czy","los","apartment","really","address","remove","whoot","meal","officially","holly","alternative","according","belong","beacon","oven","piano","alan","badass","city","access","burger","jungle","blog","several","arrested","bake","best","wood","alive","global","dont","hope","truly","associate","scott","fuck","garden","laundry","boise","easily","bike","cost","tak","ask","autograph","bonus","friends","sew","important","arizona","begin","box","sport","pin","new","fit","providence","owners","ambrose","touched","belly","dans","bear","bible","banana","love","annã","address","ahhhhhh","lost","texas","attacking","completed","name","dancing","altered","activities","dem","americans","sleep","baked","nighter","almond","bowl","fab","puppies","acting","class","add","wedding","semester","benjamin","ame","lip","bored","application"
"5","addictive","bureau","agree","although","conviction","ahh","much","haha","wow","please","feeling","bai","blues","der","clipse","butterflies","april","alive","basket","created","compete","charlie","achieved","alaska","bare","room","bello","announce","blasted","dia","caught","annie","tea","ive","cranky","blast","borrow","april","brittany","butt","storms","spend","can","back","opposite","arnold","anxiety","actual","babysit","agony","open","dear","basic","farmville","accidentally","everybody","now","running","typing","applications","bean","aaaahhh","bend","manuscript","gonna","cking","boot","booty","attention","batman","amanda","acting","affect","according","hole","bay","musa","bonne","hearts","attention","blessing","band","unhappy","kitchen","animal","adam","ask","blown","everything","desire","bored","asked","afternoon","smile","know","feel","ini","dealing","puking","bai","compassion","character","buttface","advantage","deserves","con","article","care","artist","russian","actually","background","thinks","repeatedly","arr","animals","changes","blade","appointment","drive","attention","bitches","concentrate","addiction","chat","pictures","breath","three","avoid","beatles","breath","absolutely","attempted","sho","sucks","keep","among","awsome","service","gods","london","mom","bones","oldest","boiling","current","ksi","besides","bitterness","bowling","paul","shelves","usually","artists","ben","bus","adult","absent","com","natasha","afterwards","pays","anyway","across","bet","qui","child","boom","bash","will","attempts","agosto","attitude","rises","anyone","bands","conditioning","years","loves","boxes","administration","droid","ball","gonna","bowl","recording","alter","climbing","derby","chai","bacon","closed","ages","acceptable","dance","celebrities","amuse","haha","close","basket"
"6","afterward","crash","beak","andrew","crow","anymore","thankful","well","children","someone","dinner","behaviour","carry","ben","considering","cave","ask","blueberries","bittersweet","cries","contemplating","confuse","actions","argentina","behold","grr","blessed","bitch","bug","por","city","ass","war","ish","danny","came","caught","bite","candles","cameras","added","woken","comfy","beer","radio","attention","arrest","although","baller","ave","advance","computer","bat","fat","actually","gym","time","walkin","across","beating","bones","alas","birthday","needed","fun","claim","bra","bother","beast","behind","begin","aim","ahead","advertising","males","charger","ole","common","kids","bug","comedy","beatles","ability","beer","attached","added","beautiful","brandon","cause","dude","hotel","boat","anne","net","dad","frustrated","indonesia","dies","stephen","balls","elementary","child","car","amen","driver","una","boredom","confirmed","connect","appreciate","annoying","battery","buddy","absolutely","august","anything","colder","bought","banana","music","bar","burning","course","anybody","england","achieved","characters","admit","bid","brings","centre","advice","australia","watched","school","won","awhile","boys","active","mas","months","word","booming","robert","catching","despair","mnie","boots","blanket","communicate","health","allen","assignment","beast","blessing","carefree","besides","answered","article","accent","aww","afford","application","batman","bouncing","les","church","born","bone","just","balance","anniversary","beck","ache","cod","blessings","danish","change","isn","build","another","havin","cole","homework","campaign","romance","anywhere","cover","til","david","bath","club","aliens","activities","homework","comedic","ass","horse","closet","bicycle"
"7","apartment","dakota","bed","apathy","downs","apt","awesome","guy","well","punch","great","blow","cat","kar","couzin","consider","author","fav","building","cuenta","cups","current","age","associate","belong","interview","bored","blue","camping","pessoas","direction","bang","anymore","becuase","deposit","carry","coffee","buy","cheeks","caused","angry","accomplishment","creates","bright","recommended","audited","bagged","armstrong","bri","awesome","andrea","packing","bean","franklin","anymore","needs","got","abandon","admirer","bigger","calls","beat","body","say","tonite","clears","census","cast","bein","blank","bonne","aunt","amazing","assholes","spring","charging","stã","contest","normal","cana","cup","bitches","apologize","betrayed","babysitting","airplanes","bowl","check","dreams","emails","voice","carpet","bean","mal","art","hubby","lol","drug","wishes","bat","epic","clocks","care","argh","frankly","estã","bothered","bad","cough","backyard","bond","breakfast","watched","babysit","bird","backwards","drink","caps","barely","smile","biological","com","creation","apparently","fell","announcement","cheer","alley","bitching","cards","consciousness","alone","bitches","awesome","mom","name","blindfolded","cancelled","added","normal","pot","found","chinese","action","cheer","emotional","dzie","called","condemn","company","news","ave","attitude","beforehand","broke","corn","blessed","attended","youtube","allowed","bacon","alley","attacking","blown","btw","pas","completed","businesses","chinese","life","bars","baby","bullshit","ashley","haunted","boat","fog","everybody","pretty","cake","aquarium","hide","days","non","canã","yan","apartments","devils","last","healing","bowie","corpse","apology","amusing","class","congress","awful","jealous","dad","boobs"
"8","avatar","delicious","birthdayparty","beatles","eli","begins","grateful","tht","time","account","travis","brian","deserves","yeni","disturbing","cover","basketball","flavoured","confusing","despite","devils","daylight","annual","band","bird","shit","calendar","bought","casa","uma","experience","bowling","chance","ill","everyone","cartoons","convincing","closer","contra","ceiling","anti","anime","crowded","brings","sunday","bass","boat","awwww","brothers","bitch","attention","project","becomes","stupid","automatically","dogs","going","ability","amazingly","blasted","campus","bone","boots","aggressive","back","contacts","commercial","changes","bitching","bucks","deceiving","bathroom","ankle","babies","ass","chinese","sen","email","someone","capital","department","bloody","avenue","brittany","bach","alternative","breakfast","color","game","france","big","commit","cars","today","school","nap","boys","everyday","alcohol","bath","figures","create","changing","batman","hasn","las","boyz","layout","crossed","boring","bonding","century","watching","baking","bless","bounce","driver","chick","become","com","boat","commute","dear","arr","fire","awww","conversation","apparently","boo","colin","couch","bathroom","blink","chen","ppl","stand","bothered","chinaman","ads","trojan","almond","snow","clean","bathtub","clever","farmville","bardziej","camp","cos","curious","video","awake","choose","blessing","delicious","crack","boots","basket","war","amusement","baru","americans","bachelor","bro","capable","pour","countries","butt","confused","one","blood","bella","channel","built","desert","boots","frog","old","wants","charlie","bend","level","dean","someone","chelsea","carrying","awfully","goodnite","weekend","three","consume","cutest","arrest","arent","wants","expectation","basement","cheeks","dat","bunny"
"9","balcony","disappointed","booty","books","everything","beth","soo","fly","thats","copy","delicious","bun","disconnected","foto","emotionally","currently","biscuits","flirt","conversations","dick","dew","dollars","april","became","bitches","move","classy","bout","cocktail","meu","footprints","brewing","fairies","didnt","fallen","city","daaaay","cola","day","chance","areas","bad","drink","cameron","accomplish","bed","boy","benjamin","busier","bloom","ball","awesome","blame","water","blanket","superman","good","arts","anatomy","brazil","celebrations","bro","buy","algebra","things","crazy","compared","cola","bits","didnt","disney","battle","approval","borrow","babys","cyrus","sit","evidence","awake","cause","duncan","christ","caused","bullying","bigger","artists","chã","deleting","words","gran","ramen","constant","confidence","wat","right","pray","korea","farm","answers","bird","fuzzy","dat","chemical","bean","horse","como","cigar","set","dissolves","bottle","celebrating","cleaning","husband","bath","boxes","calmed","emotional","child","big","watching","bothering","death","despite","avoid","francisco","banana","damn","begins","check","counselor","customer","bed","bloody","glee","yes","blood","breakfast","club","bottom","whose","bestest","chores","comin","booming","common","form","birds","challenge","daily","daughters","went","bath","aim","blow","faces","create","boredom","blog","feature","apt","base","annoyed","backwards","chick","ceiling","son","data","caught","cooked","don","bowling","bliss","club","camping","shots","brilliant","grandpa","facebook","feels","confidence","blackberry","mothers","debut","mindy","days","grace","battle","homework","cant","also","contemplating","depart","benefit","ass","believe","fighting","blessed","dorm","david","casserole"
